team_id,source_name,canonical_name,fifa_code,confederation,membership_status,model_scope,aliases,identity_source,notes
fifa_afg,Afghanistan,Afghanistan,AFG,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_alb,Albania,Albania,ALB,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_alderney,Alderney,Alderney,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_alg,Algeria,Algeria,ALG,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_asa,American Samoa,American Samoa,ASA,OFC,fifa_member,include,American Samoa (unranked),FIFA Member Associations snapshot,
fifa_and,Andorra,Andorra,AND,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_ang,Angola,Angola,ANG,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_aia,Anguilla,Anguilla,AIA,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_atg,Antigua and Barbuda,Antigua and Barbuda,ATG,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_arg,Argentina,Argentina,ARG,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
fifa_arm,Armenia,Armenia,ARM,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_aru,Aruba,Aruba,ARU,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_aus,Australia,Australia,AUS,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_aut,Austria,Austria,AUT,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_aymara,Aymara,Aymara,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_aze,Azerbaijan,Azerbaijan,AZE,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bah,Bahamas,Bahamas,BAH,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bhr,Bahrain,Bahrain,BHR,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_ban,Bangladesh,Bangladesh,BAN,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_brb,Barbados,Barbados,BRB,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_basque_country,Basque Country,Basque Country,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_blr,Belarus,Belarus,BLR,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bel,Belgium,Belgium,BEL,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_blz,Belize,Belize,BLZ,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_ben,Benin,Benin,BEN,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_ber,Bermuda,Bermuda,BER,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bhu,Bhutan,Bhutan,BHU,AFC,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_biafra,Biafra,Biafra,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_bol,Bolivia,Bolivia,BOL,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_bonaire,Bonaire,Bonaire,,CONCACAF,confederation_member_or_associate,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_bih,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bot,Botswana,Botswana,BOT,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bra,Brazil,Brazil,BRA,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
fifa_vgb,British Virgin Islands,British Virgin Islands,VGB,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bru,Brunei,Brunei Darussalam,BRU,AFC,fifa_member,include,Brunei,FIFA Member Associations snapshot,
fifa_bul,Bulgaria,Bulgaria,BUL,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bfa,Burkina Faso,Burkina Faso,BFA,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_bdi,Burundi,Burundi,BDI,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cam,Cambodia,Cambodia,CAM,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cmr,Cameroon,Cameroon,CMR,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_can,Canada,Canada,CAN,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cpv,Cape Verde,Cabo Verde,CPV,CAF,fifa_member,include,Cape Verde; Cape Verde Islands,FIFA Member Associations snapshot,
fifa_cay,Cayman Islands,Cayman Islands,CAY,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cta,Central African Republic,Central African Republic,CTA,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cha,Chad,Chad,CHA,CAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_chameria,Chameria,Chameria,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_chi,Chile,Chile,CHI,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
fifa_chn,China,China PR,CHN,AFC,fifa_member,include,China,FIFA Member Associations snapshot,
fifa_col,Colombia,Colombia,COL,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
fifa_com,Comoros,Comoros,COM,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cgo,Congo,Congo,CGO,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cok,Cook Islands,Cook Islands,COK,OFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_crc,Costa Rica,Costa Rica,CRC,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cro,Croatia,Croatia,CRO,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cub,Cuba,Cuba,CUB,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cuw,Curaçao,Curaçao,CUW,CONCACAF,fifa_member,include,Curacao,FIFA Member Associations snapshot,
fifa_cyp,Cyprus,Cyprus,CYP,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_cze,Czech Republic,Czechia,CZE,UEFA,fifa_member,include,Czech Republic,FIFA Member Associations snapshot,
fifa_cod,DR Congo,Congo DR,COD,CAF,fifa_member,include,DR Congo,FIFA Member Associations snapshot,
fifa_den,Denmark,Denmark,DEN,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_dji,Djibouti,Djibouti,DJI,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_dma,Dominica,Dominica,DMA,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_dom,Dominican Republic,Dominican Republic,DOM,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_east_turkestan,East Turkestan,East Turkestan,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_ecu,Ecuador,Ecuador,ECU,CONMEBOL,fifa_member,include,,FIFA Member Associations snapshot,
fifa_egy,Egypt,Egypt,EGY,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_slv,El Salvador,El Salvador,SLV,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_elba_island,Elba Island,Elba Island,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_eng,England,England,ENG,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_eqg,Equatorial Guinea,Equatorial Guinea,EQG,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_est,Estonia,Estonia,EST,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_swz,Eswatini,Eswatini,SWZ,CAF,fifa_member,include,Swaziland,FIFA Member Associations snapshot,
fifa_eth,Ethiopia,Ethiopia,ETH,CAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_falkland_islands,Falkland Islands,Falkland Islands,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_fro,Faroe Islands,Faroe Islands,FRO,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_fij,Fiji,Fiji,FIJ,OFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_fin,Finland,Finland,FIN,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_fra,France,France,FRA,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_french_guiana,French Guiana,French Guiana,,CONCACAF,confederation_member_or_associate,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
non_fifa_frya,Frøya,Frøya,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_gab,Gabon,Gabon,GAB,CAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_galicia,Galicia,Galicia,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_gam,Gambia,The Gambia,GAM,CAF,fifa_member,include,Gambia,FIFA Member Associations snapshot,
fifa_geo,Georgia,Georgia,GEO,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_ger,Germany,Germany,GER,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
fifa_gha,Ghana,Ghana,GHA,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_gib,Gibraltar,Gibraltar,GIB,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_gozo,Gozo,Gozo,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_gre,Greece,Greece,GRE,UEFA,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_greenland,Greenland,Greenland,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_grn,Grenada,Grenada,GRN,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_guadeloupe,Guadeloupe,Guadeloupe,,CONCACAF,confederation_member_or_associate,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_gum,Guam,Guam,GUM,AFC,fifa_member,include,,FIFA Member Associations snapshot,
fifa_gua,Guatemala,Guatemala,GUA,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_guernsey,Guernsey,Guernsey,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
fifa_gui,Guinea,Guinea,GUI,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_gnb,Guinea-Bissau,Guinea-Bissau,GNB,CAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_guy,Guyana,Guyana,GUY,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
fifa_hai,Haiti,Haiti,HAI,CONCACAF,fifa_member,include,,FIFA Member Associations snapshot,
non_fifa_hitra,Hitra,Hitra,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
non_fifa_hmong,Hmong,Hmong,,,non_fifa_selection,exclude,,international_results; manual classification,Excluded from the primary FIFA-national-team model.
