group_code,position,team_id
A,1,fifa_mex
A,2,fifa_rsa
A,3,fifa_kor
A,4,fifa_cze
B,1,fifa_can
B,2,fifa_bih
B,3,fifa_qat
B,4,fifa_sui
C,1,fifa_bra
C,2,fifa_mar
C,3,fifa_hai
C,4,fifa_sco
D,1,fifa_usa
D,2,fifa_par
D,3,fifa_aus
D,4,fifa_tur
E,1,fifa_ger
E,2,fifa_cuw
E,3,fifa_civ
E,4,fifa_ecu
F,1,fifa_ned
F,2,fifa_jpn
F,3,fifa_swe
F,4,fifa_tun
G,1,fifa_bel
G,2,fifa_egy
G,3,fifa_irn
G,4,fifa_nzl
H,1,fifa_esp
H,2,fifa_cpv
H,3,fifa_ksa
H,4,fifa_uru
I,1,fifa_fra
I,2,fifa_sen
I,3,fifa_irq
I,4,fifa_nor
J,1,fifa_arg
J,2,fifa_alg
J,3,fifa_aut
J,4,fifa_jor
K,1,fifa_por
K,2,fifa_cod
K,3,fifa_uzb
K,4,fifa_col
L,1,fifa_eng
L,2,fifa_cro
L,3,fifa_gha
L,4,fifa_pan
